iso2,year,m014,m1524,m2534,m3544,m4554,m5564,m65,f014,f1524,f2534,f3544,f4554,f5564,f65
BA,2008,0,20,35,38,84,49,79,3,26,26,20,11,6,112
BA,2009,2,27,35,75,77,67,99,4,31,30,17,19,13,113
BA,2010,1,27,37,34,61,46,51,0,27,19,16,10,18,94
BA,2011,2,33,32,52,75,61,62,3,17,27,17,13,25,128
BA,2012,1,23,32,58,74,62,92,0,33,26,21,10,25,116
BA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BW,2000,25,185,605,488,267,135,96,37,335,469,262,98,57,36
BW,2001,15,190,539,490,288,116,73,33,328,493,309,116,46,23
BW,2002,17,226,595,517,244,136,84,45,393,566,290,144,54,26
BW,2003,22,203,552,446,244,136,78,32,338,524,276,104,52,43
BW,2004,29,245,490,436,271,122,96,49,358,544,290,110,52,36
BW,2005,27,260,563,506,272,135,97,45,321,491,253,97,55,48
BW,2006,36,262,577,490,289,122,104,54,326,507,259,133,55,38
BW,2007,25,251,535,442,263,120,82,46,347,430,254,123,47,37
BW,2008,27,254,528,384,220,113,85,42,347,474,226,135,51,30
BW,2009,40,262,539,461,271,136,101,63,331,455,256,128,56,45
BW,2010,45,256,590,477,239,137,107,68,338,509,301,119,56,53
BW,2011,36,220,464,354,206,110,94,65,286,421,211,105,48,49
BW,2012,40,207,394,333,190,79,75,63,267,402,193,109,43,31
BW,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR,2000,1894,7268,11568,11906,8623,5085,4494,1859,6719,7215,5395,3582,2384,2496
BR,2001,468,4455,5536,5184,4285,2353,1694,516,3632,3303,2296,1701,1050,1018
BR,2002,344,4695,5890,6325,4834,2738,2080,380,3715,3584,2817,1755,1031,535
BR,2003,382,4485,5709,6034,4863,2589,2057,401,3582,3542,2540,1676,1001,1022
BR,2004,337,5041,6321,6481,5157,2716,2169,375,3684,3763,2742,1865,1041,1189
BR,2005,317,5074,6119,6128,5259,2803,2140,355,3496,3663,2626,1897,1112,1104
BR,2006,343,4783,6098,6050,5042,2885,2221,343,3132,3506,2569,1885,1121,1139
BR,2007,371,4399,5990,5456,4878,2726,2075,344,2952,3250,2327,1727,977,972
BR,2008,298,4436,6173,5305,4854,2650,1905,356,2709,3233,2266,1669,964,879
BR,2009,328,4621,6399,5291,5058,2846,1994,352,2880,3326,2271,1758,1077,1011
BR,2010,298,4405,6381,5293,4762,2875,1947,280,2677,3008,2211,1720,1038,979
BR,2011,336,4877,6755,5462,5054,3083,2142,356,2815,3131,2230,1779,1164,1069
BR,2012,277,5027,6811,5387,5128,3103,2160,303,2798,3013,2173,1785,1113,1030
BR,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VG,2000,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
VG,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VG,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
VG,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VG,2004,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
VG,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VG,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VG,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VG,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VG,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VG,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VG,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VG,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VG,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BN,2000,0,6,4,15,5,7,15,0,4,6,9,6,3,4
BN,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BN,2002,2,15,15,7,6,8,14,0,11,9,8,5,5,7
BN,2003,0,5,25,17,8,8,9,0,9,14,11,4,5,6
BN,2004,0,10,13,12,16,11,10,0,6,11,12,8,2,4
BN,2005,0,9,19,19,12,9,0,0,9,11,8,3,2,0
BN,2006,2,10,11,12,13,10,11,1,5,11,8,11,4,9
BN,2007,0,5,10,15,21,10,17,0,6,6,12,15,9,2
BN,2008,0,10,10,12,21,6,23,1,6,11,8,7,7,10
BN,2009,1,5,5,16,13,18,29,0,10,12,11,7,3,10
BN,2010,0,17,15,13,18,7,18,2,7,15,12,8,4,10
BN,2011,0,11,11,11,10,11,13,2,5,9,6,7,3,10
BN,2012,0,10,13,15,13,8,19,0,5,6,9,10,6,5
BN,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BG,2000,0,13,16,20,3,9,10,0,11,14,7,3,4,6
BG,2001,1,15,20,23,23,18,13,1,11,16,13,5,2,9
BG,2002,2,62,86,116,132,58,56,6,48,73,45,19,9,30
BG,2003,3,99,169,178,200,121,89,7,85,106,63,44,32,58
BG,2004,10,97,156,166,204,153,111,4,84,111,64,49,35,71
BG,2005,9,98,150,195,195,150,136,9,90,111,59,29,37,70
BG,2006,6,86,146,170,184,133,123,12,76,96,86,34,24,59
BG,2007,7,63,122,181,176,131,90,4,63,77,53,38,29,46
BG,2008,2,80,145,151,159,127,68,1,57,78,54,31,23,44
BG,2009,7,51,93,120,158,96,84,2,65,72,44,44,21,39
BG,2010,1,40,115,143,133,90,65,3,42,59,43,23,15,34
BG,2011,2,38,100,110,122,92,61,2,41,40,36,28,14,30
BG,2012,0,46,89,130,131,82,57,0,37,50,44,24,16,35
BG,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF,2000,12,91,274,252,133,68,65,7,59,128,101,45,38,14
BF,2001,7,124,283,279,168,122,70,17,80,155,100,49,32,32
BF,2002,6,123,273,266,156,124,83,12,85,159,104,80,30,25
BF,2003,14,148,313,321,162,129,80,19,102,131,132,70,46,36
BF,2004,10,155,375,308,204,138,102,22,109,196,148,72,54,33
BF,2005,18,181,430,370,273,144,113,15,125,248,174,109,54,40
BF,2006,13,227,473,433,307,183,140,33,155,252,198,99,99,47
BF,2007,8,233,442,429,303,176,145,29,157,243,187,129,88,45
BF,2008,8,225,555,448,314,174,146,33,143,250,180,116,107,57
BF,2009,27,221,592,467,336,230,189,38,156,269,209,154,96,77
BF,2010,20,231,620,493,328,224,173,33,158,259,198,124,97,83
BF,2011,22,265,708,582,375,262,196,31,163,277,221,146,110,92
BF,2012,25,277,769,631,423,250,198,27,160,288,191,156,106,82
BF,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BI,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BI,2001,34,344,559,469,238,75,39,81,369,364,337,86,30,15
BI,2002,16,310,470,520,270,97,52,48,243,242,324,152,24,23
BI,2003,32,348,572,488,260,106,35,75,308,361,276,119,27,10
BI,2004,24,352,674,468,292,78,48,51,325,370,232,114,40,19
BI,2005,34,352,591,525,372,111,55,46,298,399,288,122,36,33
BI,2006,30,347,600,488,320,114,64,41,296,367,242,140,56,14
BI,2007,26,425,637,542,372,177,88,55,360,392,276,140,67,38
BI,2008,30,430,684,526,459,175,80,38,335,340,264,139,72,38
BI,2009,34,452,717,584,468,240,117,50,326,397,309,157,83,40
BI,2010,56,481,773,651,570,270,157,78,390,421,332,225,99,87
BI,2011,37,484,743,620,504,235,98,56,345,374,263,180,81,40
BI,2012,45,447,801,667,461,233,103,74,338,367,283,162,64,30
BI,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CV,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CV,2001,0,5,15,6,5,5,1,2,7,9,7,1,2,3
CV,2002,3,9,29,20,14,1,2,2,11,11,12,3,4,4
CV,2003,3,12,32,32,9,7,8,1,6,7,13,7,4,11
CV,2004,1,8,33,17,20,2,7,2,17,34,11,7,6,4
CV,2005,0,22,23,26,9,2,8,2,9,16,4,5,3,6
CV,2006,2,15,22,18,8,6,4,2,14,16,5,6,4,9
CV,2007,0,24,30,26,18,4,6,0,18,17,5,1,3,6
CV,2008,0,23,33,29,27,12,6,6,18,21,11,3,5,3
CV,2009,1,27,40,31,19,3,6,4,13,10,8,4,1,5
CV,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CV,2011,0,17,43,35,31,3,3,4,14,15,4,6,3,4
CV,2012,0,29,36,34,24,8,2,0,19,13,9,8,3,4
CV,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KH,2000,26,519,1323,1618,1456,1373,1058,38,457,1157,1649,1798,1459,892
KH,2001,29,600,1302,1601,1406,1403,1037,25,455,1033,1526,1687,1428,829
KH,2002,54,791,1449,1956,1799,1624,1432,54,600,1114,1737,1898,1650,1100
KH,2003,37,805,1514,2183,1848,1729,1487,46,691,1287,1975,2208,1857,1256
KH,2004,36,850,1466,2261,1942,1759,1538,28,658,1276,1882,2176,1836,1270
KH,2005,49,894,1600,2349,2043,1964,1811,45,790,1413,2089,2323,2058,1573
KH,2006,50,791,1486,2205,1902,1689,1665,44,749,1330,1839,2072,1915,1557
KH,2007,50,883,1526,2190,2102,1761,1644,64,749,1351,1698,2105,1839,1459
KH,2008,49,920,1570,2040,2117,1746,1683,72,808,1403,1809,2093,1943,1607
KH,2009,37,746,1522,1884,2117,1543,1548,45,801,1252,1461,1894,1637,1376
KH,2010,39,750,1564,1760,2105,1531,1599,60,752,1321,1303,1732,1607,1331
KH,2011,34,791,1469,1557,1972,1439,1339,39,690,1211,1092,1528,1473,1242
KH,2012,31,673,1256,1414,1904,1434,1526,22,612,1088,957,1424,1302,1198
KH,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM,2000,41,518,842,584,284,130,75,63,368,530,293,139,60,33
CM,2001,24,643,1000,732,322,154,86,49,482,609,328,155,62,50
CM,2002,66,818,1335,1117,619,258,125,59,950,1053,545,236,140,44
CM,2003,100,1176,2274,1516,788,330,160,136,1273,1542,745,363,217,72
CM,2004,127,1312,2147,1575,928,408,259,181,1310,1449,756,412,214,140
CM,2005,134,1472,2482,1766,1035,463,289,226,1467,1788,1028,503,205,143
CM,2006,112,1401,2550,1820,1080,437,300,151,1358,1823,960,470,266,142
CM,2007,121,1392,2613,1874,1011,480,307,152,1443,1963,985,483,248,148
CM,2008,108,1613,2861,2016,1135,526,281,173,1506,2041,1027,568,234,148
CM,2009,107,1635,2822,2029,1245,567,355,155,1521,1997,1123,529,245,157
CM,2010,106,1497,2750,1996,1314,559,329,172,1474,2031,1121,642,290,183
CM,2011,114,1580,2931,2139,1283,625,361,178,1461,2022,1177,581,281,194
CM,2012,108,1597,2900,2182,1304,658,375,184,1417,2053,1177,579,295,187
CM,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA,2000,5,34,45,46,41,32,79,4,33,40,30,25,12,66
CA,2001,6,24,49,56,40,22,76,5,23,41,33,16,14,53
CA,2002,0,25,34,50,34,27,64,6,32,31,26,17,17,45
CA,2003,1,26,36,37,32,21,42,3,21,28,25,15,9,36
CA,2004,2,25,34,38,32,31,64,0,34,55,34,19,22,48
CA,2005,3,37,45,44,40,20,68,6,28,40,27,24,13,37
CA,2006,2,34,34,33,42,26,64,4,39,30,25,16,6,52
CA,2007,5,31,41,51,50,35,75,2,32,33,33,11,13,51
CA,2008,2,39,36,49,53,38,62,3,36,39,39,27,20,45
CA,2009,2,45,41,53,55,30,58,3,19,39,28,27,20,42
CA,2010,3,30,28,36,32,25,62,1,28,24,16,10,19,44
CA,2011,2,34,36,31,40,33,70,3,23,29,28,14,9,55
CA,2012,1,33,32,53,51,35,97,6,32,34,29,19,11,45
CA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY,2000,0,0,3,1,0,1,0,NA,NA,NA,NA,NA,NA,NA
KY,2001,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
KY,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,2004,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KY,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KY,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY,2010,0,0,0,1,0,0,0,0,0,0,0,1,0,0
KY,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KY,2012,0,0,2,2,1,0,0,0,0,0,0,0,0,0
KY,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,2001,15,127,279,171,78,45,16,25,179,236,123,64,23,1
CF,2002,76,264,462,414,154,82,22,66,315,402,262,139,82,18
CF,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,2004,12,58,694,575,241,30,14,14,60,430,559,181,46,9
CF,2005,29,40,1136,160,26,35,15,30,32,420,145,30,40,15
CF,2006,48,409,770,923,152,83,30,52,538,613,647,126,42,16
CF,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,2008,68,466,643,515,276,160,81,102,481,673,378,196,136,57
CF,2009,124,546,850,662,351,184,94,137,611,723,426,228,128,68
CF,2010,78,379,633,468,251,135,63,88,367,576,319,155,73,44
CF,2011,70,362,576,467,269,119,59,96,382,530,289,162,62,26
CF,2012,73,502,799,660,360,158,92,101,511,689,370,191,96,39
CF,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TD,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TD,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TD,2002,24,90,1029,794,269,37,17,18,28,495,500,187,18,11
TD,2003,155,256,428,549,303,191,78,112,206,363,497,259,151,51
TD,2004,72,141,466,415,207,61,29,41,89,317,262,129,25,16
TD,2005,25,194,535,409,229,123,82,28,148,298,211,148,59,27
TD,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TD,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TD,2008,63,NA,NA,1543,584,NA,NA,78,NA,NA,777,264,NA,NA
TD,2009,48,355,808,642,336,196,126,47,256,339,319,196,90,60
TD,2010,76,382,850,666,379,173,99,59,274,413,263,158,79,44
TD,2011,92,469,951,764,418,184,121,84,296,438,298,166,109,44
TD,2012,68,405,842,634,376,210,88,51,273,403,227,135,91,46
TD,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL,2000,6,81,160,198,150,132,126,10,66,96,70,54,58,83
CL,2001,2,78,183,213,190,116,138,9,69,85,76,58,55,83
CL,2002,6,87,163,196,193,144,160,7,64,91,82,76,54,89
CL,2003,1,77,131,181,183,150,136,8,59,106,81,42,41,80
CL,2004,3,87,148,179,187,124,168,5,58,74,76,57,57,74
CL,2005,3,74,128,179,162,115,133,4,55,78,60,56,36,93
CL,2006,12,107,140,176,197,179,199,7,70,91,74,95,64,122
CL,2007,3,86,137,140,169,139,121,8,59,75,63,49,39,78
CL,2008,7,86,131,148,167,135,118,3,52,86,49,37,30,65
CL,2009,7,85,141,147,169,109,140,8,51,67,68,52,49,59
CL,2010,2,90,115,144,159,122,157,6,56,76,59,56,40,72
CL,2011,4,88,139,143,164,127,134,6,62,75,66,69,48,71
CL,2012,4,91,122,135,170,117,149,4,59,69,53,56,60,76
CL,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN,2000,1131,19111,29399,25206,25593,21429,21771,1420,14536,18496,12377,9899,7102,6296
CN,2001,1213,19121,28520,25544,25759,20789,22799,1405,14500,17446,12041,9963,7175,6491
CN,2002,925,17933,25242,22645,23884,19564,22562,1152,13250,15188,10505,8796,6586,6740
CN,2003,1133,25125,32760,31604,32585,27243,32027,1407,18811,19248,14783,12101,8988,9465
CN,2004,1375,35465,43594,45408,46256,41846,50797,1659,25951,25150,20613,16995,14038,15739
CN,2005,1416,43005,49558,55400,54872,53822,69779,1864,31180,27759,24728,19889,18203,21244
CN,2006,1023,44528,48232,56733,54301,53746,68557,1408,30904,26526,24564,18775,17782,21212
CN,2007,878,44011,46374,56224,54960,56288,70376,1235,29960,24914,23542,18129,17647,21339
CN,2008,751,45596,44651,56182,55740,57492,69678,964,29223,23484,22370,17565,17814,21086
CN,2009,944,44757,41439,53300,54700,57653,67213,1078,29195,22179,21636,16898,17537,20623
CN,2010,759,42851,38880,50246,52925,56754,64514,926,27064,21022,20422,16075,17441,20020
CN,2011,645,37514,34597,43087,47949,51315,55881,733,22859,18347,17119,14103,15218,17638
CN,2012,511,29018,28324,34505,40428,44821,49413,580,17786,15549,13485,11981,13384,16547
CN,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HK,2000,4,78,102,160,211,236,578,5,65,115,86,44,45,211
HK,2001,6,79,99,162,196,201,519,13,88,119,83,58,34,200
HK,2002,2,99,105,163,207,218,543,8,97,115,90,57,35,153
HK,2003,8,104,91,140,195,180,472,10,88,136,102,65,43,160
HK,2004,3,59,94,128,226,175,477,6,97,112,87,56,34,140
HK,2005,3,76,84,108,200,168,453,3,67,81,92,57,34,135
HK,2006,3,75,84,135,174,161,439,9,59,97,73,54,42,132
HK,2007,5,63,80,110,177,175,425,1,59,94,74,64,37,137
HK,2008,0,59,79,95,166,208,414,8,65,84,65,45,40,131
HK,2009,3,53,64,79,176,179,413,7,56,107,82,56,39,130
HK,2010,2,52,84,99,184,166,413,3,49,101,76,64,49,133
HK,2011,2,72,52,63,172,189,384,3,56,89,69,60,53,116
HK,2012,4,63,67,95,174,178,430,1,45,110,76,51,54,115
HK,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO,2000,0,10,8,25,22,9,17,0,10,4,6,6,3,13
MO,2001,0,9,17,26,25,11,23,1,5,7,11,10,1,11
MO,2002,1,13,8,21,20,17,21,1,7,10,7,9,1,11
MO,2003,0,9,9,16,27,9,27,0,7,7,11,7,4,5
MO,2004,0,8,7,18,31,12,14,0,5,7,12,3,2,9
MO,2005,3,6,9,21,23,17,22,0,5,9,7,8,1,5
MO,2006,0,15,6,17,32,19,19,1,7,8,9,4,3,4
MO,2007,0,14,12,14,30,16,13,2,10,4,6,8,3,6
MO,2008,1,18,12,10,29,19,13,2,7,6,5,6,6,5
MO,2009,0,12,12,8,24,15,10,1,5,10,5,6,3,5
MO,2010,0,17,5,7,22,20,11,0,7,6,10,5,7,6
MO,2011,0,20,22,22,47,39,24,0,28,25,17,18,6,6
MO,2012,0,10,12,13,22,32,17,1,12,11,13,3,7,3
MO,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CO,2000,246,763,1030,963,743,610,746,194,587,758,523,381,304,510
CO,2001,223,1037,703,722,869,646,653,186,865,544,429,436,350,359
CO,2002,209,614,696,688,593,472,662,167,524,545,402,318,258,371
CO,2003,237,684,816,844,853,642,761,174,662,692,512,382,292,421
CO,2004,208,732,824,743,725,564,737,205,624,647,513,361,331,426
CO,2005,178,623,685,666,687,510,695,179,581,533,457,389,292,395
CO,2006,219,709,713,737,785,573,766,210,603,653,520,377,314,469
CO,2007,144,618,704,694,712,574,786,138,599,620,459,393,286,461
CO,2008,136,666,736,666,749,610,797,133,580,608,441,384,284,406
CO,2009,124,697,754,651,692,569,838,121,575,582,434,423,304,447
CO,2010,148,602,765,540,710,610,814,146,560,576,428,374,284,471
CO,2011,105,663,714,558,702,594,753,98,461,535,324,337,278,390
CO,2012,92,613,744,497,653,616,740,79,519,555,376,355,252,432
CO,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KM,2000,0,18,7,14,9,3,4,1,9,6,12,1,2,1
KM,2001,0,15,11,10,11,3,5,2,10,11,8,4,2,0
KM,2002,0,10,9,8,4,3,3,0,11,6,7,6,2,3
KM,2003,1,7,12,5,1,3,3,0,5,7,1,1,1,1
KM,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KM,2005,0,12,9,6,4,2,4,2,10,7,4,8,3,8
KM,2006,0,12,9,7,4,4,1,0,5,5,9,6,4,1
KM,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KM,2008,2,11,11,4,9,5,5,2,6,11,1,6,2,2
KM,2009,1,9,12,12,11,6,3,1,8,4,4,2,2,1
KM,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KM,2011,0,10,13,9,5,2,5,2,8,4,2,1,0,1
KM,2012,NA,9,15,8,4,6,6,1,5,7,5,1,1,3
KM,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG,2001,31,557,756,437,174,85,65,53,554,706,377,177,85,107
CG,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG,2004,9,602,887,451,251,78,32,38,310,800,373,156,88,44
CG,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CG,2006,32,371,656,392,174,69,51,44,384,500,247,138,79,54
CG,2007,28,351,635,482,233,78,63,45,411,608,334,153,71,60
CG,2008,31,417,606,469,195,68,49,56,396,505,308,135,85,51
CG,2009,50,474,644,376,220,87,56,65,426,493,292,127,76,47
CG,2010,41,435,672,424,203,77,55,49,409,510,296,152,70,56
CG,2011,58,453,705,462,222,80,76,72,408,463,332,200,88,97
CG,2012,46,563,716,519,276,113,72,63,438,482,349,171,68,108
CG,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK,2001,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CK,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CK,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CK,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CK,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,2008,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
CK,2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CK,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CK,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR,2000,14,31,53,62,39,28,49,13,21,33,24,20,23,24
CR,2001,2,26,53,72,50,29,36,1,18,31,20,16,16,15
CR,2002,3,26,45,44,43,19,38,6,13,24,19,14,15,19
CR,2003,3,33,47,32,39,28,33,4,25,24,21,30,11,16
CR,2004,1,49,62,45,36,29,43,5,35,29,34,11,18,22
CR,2005,1,43,38,53,34,20,34,1,21,31,18,16,6,14
CR,2006,1,27,36,29,34,25,24,4,27,24,20,15,8,11
CR,2007,4,44,57,28,32,17,31,3,16,24,19,16,16,15
CR,2008,3,24,39,31,38,17,29,2,19,31,20,14,6,14
CR,2009,NA,26,49,27,26,24,29,NA,27,22,12,10,8,11
CR,2010,2,18,48,33,27,22,28,0,18,20,12,14,15,8
CR,2011,0,23,24,29,33,22,36,2,18,27,23,19,12,17
CR,2012,2,18,33,28,34,41,23,2,11,24,11,12,8,5
CR,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CI,2001,108,1205,1818,1378,686,393,302,127,1111,1345,735,342,239,112
CI,2002,102,1271,2194,1490,833,385,307,135,1151,1620,827,358,210,142
CI,2003,116,1232,2075,1517,818,416,366,154,1193,1617,878,443,222,151
CI,2004,114,1418,2323,1530,875,474,387,160,1266,1734,916,472,273,194
CI,2005,128,1346,2449,1606,888,422,385,193,1280,1756,989,528,232,201
CI,2006,171,1467,2476,1614,915,564,368,191,1327,1776,1069,445,275,209
CI,2007,173,1576,2705,1817,981,532,429,225,1349,1973,1126,596,354,235
CI,2008,261,1764,2944,1842,1121,649,482,277,1477,2085,1171,641,326,254
CI,2009,199,1758,2886,1762,1048,527,354,237,1473,1913,1073,559,301,210
CI,2010,159,1751,2858,1882,1010,505,375,246,1431,1819,1051,531,304,209
CI,2011,189,1743,3043,1852,1072,601,348,244,1358,1838,1044,560,301,223
CI,2012,163,1743,3087,2017,1032,552,430,204,1306,1870,1120,536,337,263
CI,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR,2001,0,32,64,186,126,88,64,2,32,36,54,34,28,92
HR,2002,1,18,40,75,77,32,43,0,18,18,20,19,16,54
HR,2003,0,15,27,68,80,42,60,1,14,19,18,10,15,69
HR,2004,1,18,32,68,81,39,53,3,18,17,11,12,7,56
HR,2005,1,24,27,48,72,47,34,1,12,18,15,11,6,56
HR,2006,0,20,23,58,69,30,48,2,16,26,16,22,7,59
HR,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR,2008,0,15,25,34,63,32,47,1,11,16,13,15,12,44
HR,2009,0,14,25,41,61,34,38,0,12,8,14,5,10,40
HR,2010,0,10,19,18,38,25,24,1,3,8,4,2,1,30
HR,2011,0,12,5,20,31,31,21,0,12,14,14,8,7,26
HR,2012,0,7,10,18,24,29,14,0,0,10,2,2,3,21
HR,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,2000,0,71,167,90,74,55,75,2,9,22,26,22,23,39
CU,2001,0,36,136,87,39,54,67,1,24,17,22,17,20,39
CU,2002,0,21,104,83,67,45,77,3,15,28,22,21,20,34
CU,2003,2,23,90,91,62,51,78,0,11,14,20,23,13,29
CU,2004,0,17,68,95,63,45,50,0,16,20,15,16,20,29
CU,2005,2,20,73,90,50,58,51,2,14,17,26,13,22,29
CU,2006,NA,22,73,93,50,47,50,NA,8,18,22,12,14,23
CU,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,2008,2,30,66,108,67,59,53,3,11,14,22,18,11,34
